gene_id,gene_symbol,pseudobulk_target,pseudobulk_other,cpm_target,cpm_other,log2_fold_change,pct_expressed_target,pct_expressed_other
ENSG00000243485,MIR1302-2HG,0.0,6.0,0.0,0.012438567,-0.017834311,0.0,0.0170813642316233
ENSG00000238009,ENSG00000238009,18.0,2718.0,6.221657,5.634671,0.12230494,14.953271028037381,7.014746911119968
ENSG00000239945,ENSG00000239945,0.0,15.0,0.0,0.03109642,-0.044179313,0.0,0.04270341057905825
ENSG00000239906,ENSG00000239906,0.0,3.0,0.0,0.0062192837,-0.0089447135,0.0,0.00854068211581165
ENSG00000241860,ENSG00000241860,3.0,1001.0,1.0369427,2.0751677,-0.5942597,2.803738317757009,2.6618459260946308
ENSG00000241599,ENSG00000241599,0.0,3.0,0.0,0.0062192837,-0.0089447135,0.0,0.00854068211581165
ENSG00000286448,ENSG00000286448,0.0,229.0,0.0,0.47473866,-0.56045926,0.0,0.6490918408016854
ENSG00000235146,ENSG00000235146,0.0,63.0,0.0,0.13060495,-0.17709498,0.0,0.17935432443204463
ENSG00000229905,ENSG00000229905,0.0,16.0,0.0,0.03316951,-0.047076967,0.0,0.04555030461766213
ENSG00000237491,LINC01409,110.0,19489.0,38.021236,40.402542,-0.08545984,60.747663551401864,33.633206172066274
ENSG00000177757,FAM87B,0.0,23.0,0.0,0.047681175,-0.067199804,0.0,0.06547856288788931
ENSG00000228794,LINC01128,57.0,11627.0,19.701912,24.10387,-0.27814576,35.51401869158878,22.45345328246883
ENSG00000225880,LINC00115,3.0,464.0,1.0369427,0.9619159,0.054142233,2.803738317757009,1.2896429994875591
ENSG00000230368,FAM41C,1.0,111.0,0.3456476,0.2301135,0.1295091,0.9345794392523363,0.30746455616921936
ENSG00000272438,ENSG00000272438,0.0,81.0,0.0,0.16792066,-0.22394232,0.0,0.22205773501110287
ENSG00000223764,LINC02593,0.0,53.0,0.0,0.10987402,-0.1503959,0.0,0.1480384900074019
ENSG00000187634,SAMD11,1.0,292.0,0.3456476,0.60534364,-0.2545815,0.9345794392523363,0.7515800261914252
ENSG00000188976,NOC2L,85.0,9988.0,29.380045,20.70607,0.4850254,50.467289719626166,20.810795422194385
ENSG00000187961,KLHL17,24.0,2438.0,8.295542,5.054205,0.6186015,20.5607476635514,6.362808176279679
ENSG00000187583,PLEKHN1,0.0,53.0,0.0,0.10987402,-0.1503959,0.0,0.1508853840460058
ENSG00000187642,PERM1,0.0,30.0,0.0,0.06219284,-0.08704563,0.0,0.0854068211581165
ENSG00000272512,ENSG00000272512,1.0,199.0,0.3456476,0.41254583,-0.069997065,0.9345794392523363,0.53521607925753
ENSG00000188290,HES4,55.0,5885.0,19.010618,12.200162,0.60021013,28.971962616822427,11.615327677503844
ENSG00000187608,ISG15,17.0,1506.0,5.8760095,3.1220803,0.7381989,11.214953271028037,3.6212492171041397
ENSG00000224969,ENSG00000224969,0.0,66.0,0.0,0.13682424,-0.18500924,0.0,0.1878950065478563
ENSG00000188157,AGRN,2.0,522.0,0.6912952,1.0821553,-0.29994917,1.8691588785046727,1.4490690656493765
ENSG00000242590,ENSG00000242590,0.0,3.0,0.0,0.0062192837,-0.0089447135,0.0,0.00854068211581165
ENSG00000237330,RNF223,0.0,7.0,0.0,0.014511663,-0.020785471,0.0,0.01992825827022718
ENSG00000131591,C1orf159,100.0,15854.0,34.564762,32.866844,0.07057499,52.336448598130836,29.863918464954736
ENSG00000285812,ENSG00000285812,10.0,1663.0,3.456476,3.4475563,0.0028905384,8.411214953271028,4.392757501565791
ENSG00000223823,LINC01342,0.0,42.0,0.0,0.08706997,-0.1204448,0.0,0.1167226555827592
ENSG00000272141,ENSG00000272141,0.0,5.0,0.0,0.010365473,-0.014877272,0.0,0.014234470193019415
ENSG00000205231,TTLL10-AS1,0.0,12.0,0.0,0.024877135,-0.03545104,0.0,0.0341627284632466
ENSG00000162571,TTLL10,2.0,93.0,0.6912952,0.1927978,0.50377893,1.8691588785046727,0.2647611455901611
ENSG00000186891,TNFRSF18,7.0,876.0,2.4195333,1.8160309,0.28013626,6.5420560747663545,2.2348118203040483
ENSG00000186827,TNFRSF4,2.0,245.0,0.6912952,0.50790817,0.16557992,1.8691588785046727,0.6177760063770427
ENSG00000078808,SDF4,112.0,16954.0,38.712532,35.147243,0.13570866,57.943925233644855,32.63679325855492
ENSG00000176022,B3GALT6,20.0,2800.0,6.912952,5.804665,0.21769181,15.887850467289718,7.028981381312987
ENSG00000184163,C1QTNF12,3.0,415.0,1.0369427,0.8603342,0.13084358,2.803738317757009,1.1529920856345726
ENSG00000260179,ENSG00000260179,0.0,28.0,0.0,0.05804665,-0.081403315,0.0,0.07686613904230484
ENSG00000160087,UBE2J2,75.0,11382.0,25.92357,23.595963,0.13044818,44.85981308411215,24.702499572965895
ENSG00000230415,LINC01786,6.0,960.0,2.0738854,1.9901708,0.03983541,5.607476635514018,2.6162956214769686
ENSG00000162572,SCNN1D,20.0,3478.0,6.912952,7.210223,-0.053205427,15.887850467289718,8.953481751409212
ENSG00000131584,ACAP3,251.0,30543.0,86.75755,63.318527,0.4482889,80.37383177570094,46.771622160223195
ENSG00000169972,PUSL1,9.0,1210.0,3.1108284,2.5084443,0.22859766,8.411214953271028,3.3194784490121276
ENSG00000127054,INTS11,84.0,15362.0,29.034399,31.846878,-0.12914044,47.66355140186916,31.287365484256675
