gene_id,gene_symbol,pseudobulk_target,pseudobulk_other,cpm_target,cpm_other,log2_fold_change,pct_expressed_target,pct_expressed_other
ENSG00000260951,ENSG00000260951,350.0,1848.0,120.97666,3.8310785,4.658116,29.906542056074763,1.1045948869783067
ENSG00000286122,LINC02964,372.0,2411.0,128.58092,4.998231,4.433172,41.1214953271028,3.2141433695837844
ENSG00000261742,LINC00922,145.0,960.0,50.118904,1.9901708,4.095557,21.49532710280374,1.0875135227466832
ENSG00000258220,LINC02424,208.0,1946.0,71.89471,4.034242,3.8559675,38.31775700934579,2.7728747936001823
ENSG00000153266,FEZF2,299.0,3229.0,103.34863,6.6940227,3.76153,94.39252336448598,6.10658771280533
ENSG00000268089,GABRQ,48.0,177.0,16.591084,0.36693773,3.6858249,14.953271028037381,0.41564652963616694
ENSG00000285778,ENSG00000285778,149.0,1612.0,51.501495,3.3418283,3.595984,35.51401869158878,1.9301941581734328
ENSG00000285817,ENSG00000285817,121.0,1471.0,41.82336,3.0495222,3.4025743,24.299065420560748,1.9558162045208678
ENSG00000171724,VAT1L,853.0,13920.0,294.8374,28.857477,3.3086402,99.06542056074767,20.443546091214486
ENSG00000167332,OR51E2,33.0,140.0,11.406371,0.29023322,3.2653773,15.887850467289718,0.3103114502078233
ENSG00000185668,POU3F1,158.0,2357.0,54.612324,4.886284,3.2399757,41.1214953271028,4.811250925240563
ENSG00000267098,ENSG00000267098,159.0,2541.0,54.95797,5.267733,3.158328,27.102803738317753,2.525195012241644
ENSG00000175779,LINC02694,227.0,3829.0,78.462006,7.9378786,3.1522608,37.38317757009346,6.018333997608609
ENSG00000239440,LINC02008,401.0,7221.0,138.60469,14.969816,3.1279278,37.38317757009346,7.117235096509708
ENSG00000073734,ABCB11,48.0,495.0,16.591084,1.0261818,3.1180089,23.364485981308412,0.9053123042760349
ENSG00000174899,SLC66A1LP,90.0,1382.0,31.108284,2.8650167,3.054399,35.51401869158878,2.7444058532141433
ENSG00000179008,C14orf39,63.0,922.0,21.775799,1.9113932,2.96772,20.5607476635514,1.6284233900814211
ENSG00000232252,ENSG00000232252,33.0,287.0,11.406371,0.59497815,2.9594727,14.018691588785046,0.53521607925753
ENSG00000196557,CACNA1H,68.0,1091.0,23.504038,2.2617462,2.9093032,36.44859813084112,2.644764561863007
ENSG00000120907,ADRA1A,919.0,20805.0,317.65015,43.130733,2.8521178,100.0,21.39156180606958
ENSG00000153993,SEMA3D,205.0,4631.0,70.85776,9.600501,2.7610114,47.66355140186916,5.8902237658714345
ENSG00000167346,MMP26,48.0,788.0,16.591084,1.6335986,2.739737,23.364485981308412,1.4576097477651881
ENSG00000180828,BHLHE22,42.0,661.0,14.5171995,1.3703156,2.7107172,16.822429906542055,1.5999544496953824
ENSG00000189238,LINC00943,35.0,484.0,12.097667,1.0033778,2.7088034,16.822429906542055,1.0277287479360018
ENSG00000287092,ENSG00000287092,566.0,14996.0,195.63655,31.088125,2.61542,42.99065420560748,11.191140465751864
ENSG00000229855,LOC102467226,66.0,1460.0,22.812742,3.0267181,2.5640574,18.69158878504673,1.582873085463759
ENSG00000128422,KRT17,93.0,2286.0,32.14523,4.7390943,2.5299063,29.906542056074763,3.732278084609691
ENSG00000287474,ENSG00000287474,815.0,23445.0,281.7028,48.603703,2.5107665,48.598130841121495,13.257985537778282
