leiden,n_sub,n_total,prop
29,193,225,0.8577777777777778
22,52,380,0.1368421052631579
19,61,582,0.10481099656357389
3,181,2390,0.07573221757322175
25,16,283,0.05653710247349823
32,6,147,0.04081632653061224
11,43,1061,0.04052780395852969
27,7,251,0.027888446215139442
30,5,194,0.02577319587628866
21,8,414,0.01932367149758454
33,2,132,0.015151515151515152
1,44,3033,0.014507088691064951
14,12,913,0.013143483023001095
16,8,770,0.01038961038961039
7,14,1417,0.009880028228652082
12,8,995,0.008040201005025126
18,2,672,0.002976190476190476
4,2,2232,0.0008960573476702509
0,0,4573,0.0
2,0,2754,0.0
5,0,1970,0.0
20,0,433,0.0
17,0,767,0.0
13,0,967,0.0
15,0,778,0.0
8,0,1357,0.0
6,0,1723,0.0
10,0,1115,0.0
9,0,1117,0.0
28,0,240,0.0
26,0,274,0.0
23,0,334,0.0
24,0,314,0.0
31,0,186,0.0
34,0,120,0.0
35,0,71,0.0
36,0,49,0.0
